fclass,year,quarter,quarter_num,NDVI,BSI,ndvi_qoq_change,bsi_qoq_change
secondary,2019,Q1,1,0.1835157391526845,0.14843191510338913,-0.010358465995007032,0.05139184865920576
secondary,2019,Q2,2,0.2233138332392906,0.09565012763267504,0.03979809408660612,-0.05278178747071409
secondary,2019,Q3,3,0.08679734063827299,0.006616581349279996,-0.1365164926010176,-0.08903354628339505
secondary,2019,Q4,4,0.23019699089969997,0.10494439329238794,0.14339965026142698,0.09832781194310795
secondary,2020,Q1,1,0.17738053888962368,0.1302826754289601,-0.05281645201007629,0.02533828213657216
secondary,2020,Q2,2,0.20403518523488492,0.10120674139142163,0.02665464634526124,-0.02907593403753847
secondary,2020,Q3,3,0.21615077303449445,0.08806440510015501,0.012115587799609528,-0.013142336291266626
secondary,2020,Q4,4,0.2042613068415883,0.10052989639634133,-0.01188946619290615,0.01246549129618632
secondary,2021,Q1,1,0.16563371023327655,0.11120782539032709,-0.03862759660831175,0.010677928993985758
secondary,2021,Q2,2,0.18733848466972663,0.11171229598550303,0.02170477443645008,0.0005044705951759432
secondary,2021,Q3,3,0.1858372808205864,0.0814302484296576,-0.0015012038491402369,-0.03028204755584543
secondary,2021,Q4,4,0.2252750720486948,0.10786882064089051,0.03943779122810839,0.026438572211232914
secondary,2022,Q1,1,0.17821960850820018,0.15397647229668301,-0.04705546354049461,0.0461076516557925
secondary,2022,Q2,2,0.21217890616818005,0.0989132498175446,0.033959297659979876,-0.05506322247913842
secondary,2022,Q3,3,0.31927399338638013,0.03257930022767115,0.10709508721820007,-0.06633394958987344
secondary,2022,Q4,4,0.2342272081830314,0.1114025447465984,-0.08504678520334874,0.07882324451892725
secondary,2023,Q1,1,0.18809752057326418,0.13354906506372966,-0.04612968760976721,0.022146520317131255
secondary,2023,Q2,2,0.2205182488782632,0.08771183449282764,0.032420728304999036,-0.04583723057090201
secondary,2023,Q3,3,0.2916167588177953,0.025238927582041833,0.0710985099395321,-0.06247290691078581
secondary,2023,Q4,4,0.22929241650915316,0.11339023587653527,-0.062324342308642144,0.08815130829449344
service,2017,Q1,1,0.22957580013447026,0.1892766760427699,,
service,2017,Q4,4,0.22852995448610855,0.15999639294358198,-0.0010458456483617151,-0.029280283099187926
service,2018,Q1,1,0.20698241750271074,0.22298956728090272,-0.021547536983397814,0.06299317433732074
service,2018,Q2,2,0.35150212471285625,0.13848135357707292,0.1445197072101455,-0.0845082137038298
service,2018,Q4,4,0.17667068539959557,0.11705595818688616,-0.17483143931326067,-0.021425395390186758
service,2019,Q1,1,0.17573823115388448,0.1699490954766122,-0.0009324542457110896,0.05289313728972603
service,2019,Q2,2,0.20559845887254447,0.10512312183857586,0.029860227718659982,-0.06482597363803633
service,2019,Q3,3,0.073678079053003,0.003656678101772899,-0.13192037981954147,-0.10146644373680297
service,2019,Q4,4,0.21865793169790868,0.12524977095885506,0.14497985264490568,0.12159309285708217
service,2020,Q1,1,0.16404447823448567,0.1480808832238505,-0.054613453463423,0.02283111226499543
service,2020,Q2,2,0.17982764333304752,0.12447231986573548,0.01578316509856184,-0.02360856335811501
service,2020,Q3,3,0.18978983001335561,0.10126027451207179,0.0099621866803081,-0.023212045353663696
service,2020,Q4,4,0.1962712520276634,0.11345470074204975,0.006481422014307792,0.012194426229977962
service,2021,Q1,1,0.15094120907114209,0.120813624334385,-0.04533004295652132,0.007358923592335254
service,2021,Q2,2,0.1669608034767476,0.1237143160296343,0.01601959440560552,0.0029006916952492995
service,2021,Q3,3,0.1739519734032051,0.07662040498180304,0.006991169926457486,-0.047093911047831255
service,2021,Q4,4,0.2048640046516818,0.12345302599936274,0.030912031248476718,0.046832621017559695
service,2022,Q1,1,0.16123935577210052,0.1651891775648896,-0.043624648879581285,0.04173615156552686
